Date,Open,High,Low,Close,Adj Close,Volume
2022-03-03,97.470001,97.949997,97.430000,97.790001,97.790001,0
2022-03-04,98.040001,98.919998,97.839996,98.650002,98.650002,0
2022-03-06,null,null,null,null,null,null
2022-03-07,98.570000,99.419998,98.570000,99.290001,99.290001,0
2022-03-08,99.239998,99.320000,98.709999,99.059998,99.059998,0
2022-03-09,99.120003,99.120003,97.849998,97.970001,97.970001,0
2022-03-10,98.059998,98.599998,97.709999,98.510002,98.510002,0
2022-03-11,98.360001,99.160004,98.269997,99.120003,99.120003,0
2022-03-13,null,null,null,null,null,null
2022-03-14,99.129997,99.290001,98.680000,99.059998,99.059998,0
2022-03-15,99.129997,99.199997,98.639999,99.070000,99.070000,0
2022-03-16,98.889999,99.080002,98.300003,98.379997,98.379997,0
2022-03-17,98.500000,98.510002,97.730003,98.010002,98.010002,0
2022-03-18,98.000000,98.620003,97.839996,98.230003,98.230003,0
2022-03-20,null,null,null,null,null,null
2022-03-21,98.239998,98.529999,98.160004,98.500000,98.500000,0
2022-03-22,98.489998,98.970001,98.320000,98.489998,98.489998,0
2022-03-23,98.480003,98.879997,98.389999,98.620003,98.620003,0
2022-03-24,98.639999,98.959999,98.599998,98.790001,98.790001,0
2022-03-25,98.750000,98.830002,98.400002,98.809998,98.809998,0
2022-03-27,null,null,null,null,null,null
2022-03-28,98.809998,99.370003,98.800003,99.089996,99.089996,0
2022-03-29,99.080002,99.300003,98.040001,98.400002,98.400002,0
2022-03-30,98.370003,98.430000,97.690002,97.790001,97.790001,0
2022-03-31,97.830002,98.400002,97.690002,98.309998,98.309998,0
2022-04-01,98.339996,98.739998,98.309998,98.629997,98.629997,0
2022-04-03,null,null,null,null,null,null
2022-04-04,98.570000,99.080002,98.519997,98.989998,98.989998,0
2022-04-05,99.000000,99.519997,98.839996,99.470001,99.470001,0
2022-04-06,99.470001,99.769997,99.309998,99.599998,99.599998,0
2022-04-07,99.650002,99.830002,99.400002,99.750000,99.750000,0
2022-04-08,99.820000,100.190002,99.739998,99.800003,99.800003,0
2022-04-10,null,null,null,null,null,null
2022-04-11,99.839996,100.050003,99.620003,99.930000,99.930000,0
2022-04-12,100.040001,100.330002,99.739998,100.290001,100.290001,0
2022-04-13,100.339996,100.519997,99.830002,99.879997,99.879997,0
2022-04-14,99.790001,100.760002,99.570000,100.320000,100.320000,0
2022-04-17,null,null,null,null,null,null
2022-04-18,100.500000,100.860001,100.459999,100.779999,100.779999,0
2022-04-19,100.830002,101.029999,100.699997,100.959999,100.959999,0
2022-04-20,100.980003,101.040001,100.220001,100.389999,100.389999,0
2022-04-21,100.349998,100.639999,99.820000,100.580002,100.580002,0
2022-04-22,100.620003,101.330002,100.470001,101.220001,101.220001,0
2022-04-24,null,null,null,null,null,null
2022-04-25,101.120003,101.860001,101.040001,101.750000,101.750000,0
2022-04-26,101.730003,102.360001,101.510002,102.300003,102.300003,0
2022-04-27,102.279999,103.279999,102.220001,102.949997,102.949997,0
2022-04-28,103.040001,103.930000,102.980003,103.620003,103.620003,0
2022-04-29,103.669998,103.669998,102.820000,102.959999,102.959999,0
2022-05-01,null,null,null,null,null,null
2022-05-02,103.209999,103.750000,103.110001,103.739998,103.739998,0
2022-05-03,103.599998,103.669998,103.029999,103.470001,103.470001,0
2022-05-04,103.459999,103.620003,102.459999,102.589996,102.589996,0
2022-05-05,102.680000,103.940002,102.349998,103.750000,103.750000,0
2022-05-06,103.559998,104.059998,103.190002,103.660004,103.660004,0
2022-05-08,null,null,null,null,null,null
2022-05-09,103.660004,104.190002,103.389999,103.650002,103.650002,0
2022-05-10,103.730003,103.980003,103.500000,103.919998,103.919998,0
2022-05-11,103.900002,104.110001,103.370003,103.849998,103.849998,0
2022-05-12,104.010002,104.930000,103.879997,104.849998,104.849998,0
2022-05-13,104.769997,105.010002,104.470001,104.559998,104.559998,0
2022-05-15,null,null,null,null,null,null
2022-05-16,104.470001,104.639999,104.139999,104.190002,104.190002,0
2022-05-17,104.169998,104.230003,103.230003,103.360001,103.360001,0
2022-05-18,103.339996,103.930000,103.190002,103.809998,103.809998,0
2022-05-19,103.830002,103.879997,102.660004,102.720001,102.720001,0
2022-05-20,102.900002,103.260002,102.769997,103.150002,103.150002,0
2022-05-22,null,null,null,null,null,null
2022-05-23,103.029999,103.050003,102.040001,102.080002,102.080002,0
2022-05-24,102.110001,102.320000,101.650002,101.860001,101.860001,0
2022-05-25,101.769997,102.449997,101.730003,102.059998,102.059998,0
2022-05-26,102.019997,102.269997,101.739998,101.830002,101.830002,0
2022-05-27,101.720001,101.940002,101.430000,101.669998,101.669998,0
2022-05-29,null,null,null,null,null,null
2022-05-30,101.639999,101.720001,101.300003,101.370003,101.370003,0
2022-05-31,101.440002,102.169998,101.410004,101.750000,101.750000,0
2022-06-01,101.760002,102.730003,101.739998,102.550003,102.550003,0
2022-06-02,102.550003,102.620003,101.739998,101.769997,101.769997,0
