date,Zora
2022-08-26,877
2022-08-27,635
2022-08-28,647
2022-08-29,598
2022-08-30,628
2022-08-31,513
2022-09-01,633
2022-09-02,888
2022-09-03,614
2022-09-04,622
2022-09-05,658
2022-09-06,789
2022-09-07,695
2022-09-08,592
2022-09-09,605
2022-09-10,698
2022-09-11,697
2022-09-12,612
2022-09-13,584
2022-09-14,461
2022-09-15,795
2022-09-16,0
2022-11-04,318
2022-11-05,11
