date,Decentraland LAND
2021-12-01,297
2021-12-02,320
2021-12-03,366
2021-12-04,234
2021-12-05,507
2021-12-06,155
2021-12-07,217
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,238
2021-12-23,165
2021-12-24,204
2021-12-25,308
2021-12-26,174
2021-12-27,137
2021-12-28,322
2021-12-29,171
2021-12-30,336
2021-12-31,0
2022-01-07,36
2022-01-08,191
2022-01-09,134
2022-01-10,240
2022-01-11,192
2022-01-12,136
2022-01-13,235
2022-01-14,270
2022-01-15,166
2022-01-16,152
2022-01-17,157
2022-01-18,239
2022-01-19,106
2022-01-20,112
2022-01-21,116
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,139
2022-02-01,311
2022-02-02,84
2022-02-03,238
2022-02-04,353
2022-02-05,308
2022-02-06,82
2022-02-07,301
2022-02-08,469
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-18,158
2022-02-19,101
2022-02-20,354
2022-02-21,61
2022-02-22,82
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-04-29,206
2022-04-30,100
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,80
2022-05-05,213
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,238
2022-05-10,323
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-27,150
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,171
2022-06-02,210
2022-06-03,200
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,136
2022-06-11,179
2022-06-12,201
2022-06-13,124
2022-06-14,373
2022-06-15,177
2022-06-16,112
2022-06-17,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,277
2022-07-21,100
2022-07-22,76
2022-07-23,178
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,246
2022-07-28,586
2022-07-29,0
2022-08-05,0
2022-08-06,0
2022-08-07,176
2022-08-08,48
2022-08-09,117
2022-08-10,195
2022-08-11,131
2022-08-12,332
2022-08-13,100
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-26,398
2022-08-27,50
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-16,0
2022-09-17,0
2022-09-18,96
2022-09-19,63
2022-09-20,420
2022-09-21,303
2022-09-22,16
2022-09-23,166
2022-09-24,175
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-28,0
2022-10-29,0
2022-10-30,144
2022-10-31,412
2022-11-01,87
2022-11-02,229
2022-11-03,217
2022-11-04,334
2022-11-05,0
