date,Mutant Ape Yacht Club
2021-12-12,194
2021-12-13,162
2021-12-14,141
2021-12-15,134
2021-12-16,300
2021-12-17,143
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-31,0
2022-01-01,160
2022-01-02,323
2022-01-03,287
2022-01-04,190
2022-01-05,389
2022-01-06,396
2022-01-07,311
2022-01-08,437
2022-01-09,183
2022-01-10,161
2022-01-11,370
2022-01-12,328
2022-01-13,151
2022-01-14,259
2022-01-15,113
2022-01-16,280
2022-01-17,126
2022-01-18,225
2022-01-19,65
2022-01-20,67
2022-01-21,269
2022-01-22,348
2022-01-23,189
2022-01-24,129
2022-01-25,201
2022-01-26,260
2022-01-27,237
2022-01-28,280
2022-01-29,282
2022-01-30,358
2022-01-31,290
2022-02-01,131
2022-02-02,267
2022-02-03,118
2022-02-04,290
2022-02-05,0
2022-02-06,0
2022-02-07,144
2022-02-08,200
2022-02-09,126
2022-02-10,152
2022-02-11,97
2022-02-12,224
2022-02-13,206
2022-02-14,296
2022-02-15,216
2022-02-16,147
2022-02-17,260
2022-02-18,150
2022-02-19,139
2022-02-20,329
2022-02-21,156
2022-02-22,160
2022-02-23,109
2022-02-24,86
2022-02-25,73
2022-02-26,54
2022-02-27,87
2022-02-28,144
2022-03-01,135
2022-03-02,130
2022-03-03,54
2022-03-04,47
2022-03-05,259
2022-03-06,198
2022-03-07,67
2022-03-08,236
2022-03-09,283
2022-03-10,133
2022-03-11,159
2022-03-12,144
2022-03-13,110
2022-03-14,303
2022-03-15,193
2022-03-16,267
2022-03-17,62
2022-03-18,219
2022-03-19,57
2022-03-20,172
2022-03-21,86
2022-03-22,396
2022-03-23,280
2022-03-24,207
2022-03-25,178
2022-03-26,230
2022-03-27,187
2022-03-28,63
2022-03-29,285
2022-03-30,109
2022-03-31,214
2022-04-01,178
2022-04-02,293
2022-04-03,174
2022-04-04,67
2022-04-05,330
2022-04-06,138
2022-04-07,256
2022-04-08,130
2022-04-09,156
2022-04-10,263
2022-04-11,111
2022-04-12,264
2022-04-13,236
2022-04-14,443
2022-04-15,175
2022-04-16,105
2022-04-17,194
2022-04-18,287
2022-04-19,188
2022-04-20,72
2022-04-21,40
2022-04-22,265
2022-04-23,279
2022-04-24,164
2022-04-25,350
2022-04-26,66
2022-04-27,128
2022-04-28,139
2022-04-29,193
2022-04-30,211
2022-05-01,143
2022-05-02,137
2022-05-03,138
2022-05-04,129
2022-05-05,189
2022-05-06,334
2022-05-07,92
2022-05-08,127
2022-05-09,57
2022-05-10,150
2022-05-11,91
2022-05-12,101
2022-05-13,127
2022-05-14,59
2022-05-15,111
2022-05-16,78
2022-05-17,66
2022-05-18,88
2022-05-19,137
2022-05-20,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,90
2022-06-21,401
2022-06-22,109
2022-06-23,80
2022-06-24,0
2022-06-25,0
2022-06-26,0
2022-06-27,15
2022-06-28,244
2022-06-29,367
2022-06-30,162
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,37
2022-07-05,138
2022-07-06,240
2022-07-07,204
2022-07-08,118
2022-07-09,0
2022-07-10,0
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,0
2022-07-15,261
2022-07-16,126
2022-07-17,326
2022-07-18,157
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,86
2022-07-23,50
2022-07-24,305
2022-07-25,213
2022-07-26,225
2022-07-27,181
2022-07-28,306
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,42
2022-08-02,135
2022-08-03,185
2022-08-04,255
2022-08-05,180
2022-08-06,82
2022-08-07,108
2022-08-08,174
2022-08-09,141
2022-08-10,240
2022-08-11,288
2022-08-12,162
2022-08-13,91
2022-08-14,251
2022-08-15,71
2022-08-16,74
2022-08-17,159
2022-08-18,115
2022-08-19,82
2022-08-20,320
2022-08-21,128
2022-08-22,129
2022-08-23,260
2022-08-24,287
2022-08-25,112
2022-08-26,182
2022-08-27,386
2022-08-28,207
2022-08-29,31
2022-08-30,355
2022-08-31,115
2022-09-01,106
2022-09-02,378
2022-09-03,303
2022-09-04,229
2022-09-05,271
2022-09-06,163
2022-09-07,182
2022-09-08,158
2022-09-09,226
2022-09-10,354
2022-09-11,161
2022-09-12,130
2022-09-13,144
2022-09-14,324
2022-09-15,191
2022-09-16,354
2022-09-17,147
2022-09-18,138
2022-09-19,43
2022-09-20,127
2022-09-21,125
2022-09-22,78
2022-09-23,84
2022-09-24,145
2022-09-25,327
2022-09-26,121
2022-09-27,98
2022-09-28,66
2022-09-29,163
2022-09-30,382
2022-10-01,277
2022-10-02,167
2022-10-03,134
2022-10-04,86
2022-10-05,121
2022-10-06,182
2022-10-07,252
2022-10-08,166
2022-10-09,81
2022-10-10,208
2022-10-11,175
2022-10-12,275
2022-10-13,268
2022-10-14,213
2022-10-15,306
2022-10-16,141
2022-10-17,132
2022-10-18,108
2022-10-19,160
2022-10-20,123
2022-10-21,121
2022-10-22,127
2022-10-23,121
2022-10-24,135
2022-10-25,142
2022-10-26,100
2022-10-27,188
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,0
2022-11-03,90
2022-11-04,100
